dst_path,image_path,design_name,file_name,designer
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\1689 design\H1-LC 1689.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_1689 design_H1-LC 1689.png,1689 design,H1-LC 1689.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\1689 design\H1A-LC 1689.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_1689 design_H1A-LC 1689.png,1689 design,H1A-LC 1689.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\1689 design\HAND-LC 1689.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_1689 design_HAND-LC 1689.png,1689 design,HAND-LC 1689.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\1689 design\HFULL2-LC 1689.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_1689 design_HFULL2-LC 1689.png,1689 design,HFULL2-LC 1689.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\1689 design\LEFT-LC 1689.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_1689 design_LEFT-LC 1689.png,1689 design,LEFT-LC 1689.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\1689 design\RIGHT-LC 1689.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_1689 design_RIGHT-LC 1689.png,1689 design,RIGHT-LC 1689.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\1948 ganji design\HB1948 B1.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_1948 ganji design_HB1948 B1.png,1948 ganji design,HB1948 B1.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\1948 ganji design\HB1948 B2.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_1948 ganji design_HB1948 B2.png,1948 ganji design,HB1948 B2.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\1948 ganji design\HB1948 FR.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_1948 ganji design_HB1948 FR.png,1948 ganji design,HB1948 FR.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\1948 ganji design\HB1948 FR1.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_1948 ganji design_HB1948 FR1.png,1948 ganji design,HB1948 FR1.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\1948 ganji design\HB1948 FULL.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_1948 ganji design_HB1948 FULL.png,1948 ganji design,HB1948 FULL.DST,Bindu
